movieId,title,imdbId
93040,"Civil War, The (1990)",98769
103813,Miami Connection (1987),92549
97817,Pumping Iron II: The Women (1985),89852
110858,Firstborn (1984),87263
114122,Dim Sum: A Little Bit of Heart (1985),87150
102252,Legendary Weapons of China (1982),84671
112577,Willie & Phil (1980),81758
109205,No Nukes (1980),81242
120821,The War at Home (1979),80118
105763,Bloodsucking Freaks (1976),77247
121126,The Car (1977),75809
114766,SS Experiment Love Camp (Lager SSadis Kastrat Kommandantur) (1976),74768
114464,Helter Skelter (1976),74621
104662,"First Nudie Musical, The (1976)",74533
92756,Hearts of the West (1975),73096
108583,Fawlty Towers (1975-1979),72500
102666,Ivan Vasilievich: Back to the Future (Ivan Vasilievich menyaet professiyu) (1973),70233
129191,The Clowns (1970),66922
111505,"Love God?, The (1969)",64606
114082,Bambi Meets Godzilla (1969),64064
110752,Mondo Hollywood (1967),61988
104119,"Forsyte Saga, The (1967)",61253
107412,"Kidnapping, Caucasian Style (Kavkazskaya plennitsa) (1967)",60584
97254,Shakespeare-Wallah (1965),59709
127052,Operation 'Y' & Other Shurik's Adventures (1965),59550
98473,"Sleeping Car Murder, The (Compartiment tueurs) (1965)",59050
107081,Zatoichi on the Road (Zatôichi kenka-tabi) (Zatôichi 5) (1963),57714
106004,Maniac (1963),56219
116012,The Young Savages (1961),55633
123695,The Story on Page One (1959),53308
96792,Kismet (1955),48260
95115,Inauguration of the Pleasure Dome (1954),47114
95113,Eaux d'artifice (1953),45719
115139,Challenge to Lassie (1949),41238
128235,Stormy Weather (1943),36391
99276,Susannah of the Mounties (1939),31995
98441,Rebecca of Sunnybrook Farm (1938),30657
98803,Little Miss Broadway (1938),30371
98611,Just Around the Corner (1938),30302
99273,Stowaway (1936),28315
99089,Poor Little Rich Girl (1936),28118
99085,Our Little Girl (1935),26835
99270,Stand Up and Cheer! (1934),25829
98458,Baby Take a Bow (1934),24854
123663,The Passionate Plumber (1932),23322
121618,The Great Gatsby (1926),16938
