Title,Year,Rated,Genre(s),Plot
The Five-Year Engagement,2012,R,"Comedy, Romance","In San Francisco, after a year's relationship, Tom proposes to Violet; she accepts. She's an experimental psychologist, hoping for a post-doc at Cal. He's a sous chef who runs the kitchen when the chef is away. When Cal falls through and she gets an offer in Ann Arbor, Tom agrees to support the move, turning down a job as chef at a new restaurant. The move requires postponing the wedding. At Michigan, Violet is in her element, but Tom is underemployed and frustrated; he's Stoic for a while, but when two years in Michigan become four, Tom's frustrations boil over, and on the eve of yet another wedding date, they must make a choice. Is there any other alternative?"
Wonder Woman,2009,PG-13,"Animation, Action, Adventure","In antiquity, the Amazons defeat the war god, Ares, and Zeus charges them to hold him prisoner as eternally young warriors on the hidden island of Themyscira. Centuries later, US Air Force pilot Steve Trevor is lured to crash land on the island and the distraction of that trespass allows Ares to escape. In response, Princess Diana wins the responsibility to both take Trevor home and recapture the fugitive god. Steve Trevor offers to help and together this disparate pair must not only overcome Ares' efforts to achieve a bloody revenge, but also reconcile their own conflicting world views in an adventure that would be the first for the greatest of the female superheroes."
The Wrecking Crew!,2008,PG,"Documentary, Music","A celebration of the musical work of a group of session musicians known as ""The Wrecking Crew"", a band that provided back-up instrumentals to such legendary recording artists as Frank Sinatra, The Beach Boys and Bing Crosby."
Corman's World: Exploits of a Hollywood Rebel,2011,R,Documentary,A documentary on DIY producer/director Roger Corman and his alternative approach to making movies in Hollywood.
Marley,2012,PG-13,"Documentary, Biography, Music","Bob Marley's universal appeal, impact on music history and role as a social and political prophet is both unique and unparalleled. The definitive life story of the musician, revolutionary, and legend, from his early days to his rise to international super-stardom. Made with the support of the Marley family, there is rare footage, incredible performances and revelatory interviews with the people that knew him best."
Cold in July,2014,R,"Crime, Thriller","When a protective father meets a murderous ex-con, both need to deviate from the path they are on as they soon find themselves entangled in a downwards spiral of lies and violence while having to confront their own inner psyche."
The Hobbit: The Desolation of Smaug,2013,PG-13,"Adventure, Fantasy","After successfully crossing over (and under) the Misty Mountains, Thorin and Company must seek aid from a powerful stranger before taking on the dangers of Mirkwood Forest--without their Wizard. If they reach the human settlement of Lake-town it will be time for the hobbit Bilbo Baggins to fulfill his contract with the dwarves. The party must complete the journey to Lonely Mountain and burglar Baggins must seek out the Secret Door that will give them access to the hoard of the dragon Smaug. And, where has Gandalf got off to? And what is his secret business to the south?"
Tidal Wave,2009,R,"Action, Drama","Professor Kim, a marine geologist, recognizes the impending danger of a mega tsunami headed straight for Haeundae, a popular vacation spot on the south coast of Korea. He desperately attempts to warn authorities and alert the unknowing vacationers of the 500 MPH destructive force of nature headed their direction."
Big Eyes,2014,PG-13,"Biography, Crime, Drama","In San Francisco in the 1950s, Margaret was a woman trying to make it on her own after leaving her husband with only her daughter and her paintings. She meets gregarious ladies' man and fellow painter Walter Keane in a park while she was struggling to make an impact with her drawings of children with big eyes. The two quickly become a pair with outgoing Walter selling their paintings and quiet Margaret holed up at home painting even more children with big eyes. But Walter's actually selling her paintings as his own. A clash of financial success and critical failure soon sends Margaret reeling in her life of lies. With Walter still living the high life, Margaret's going to have to try making it on her own again and re-claiming her name and her paintings."
Dragon Ball Z: Cooler's Revenge,1991,TV-PG,"Animation, Action, Sci-Fi","After destroying Frieza on Namek, Goku returns to a peaceful life on Earth. When informed his brother has been killed by a Saiyan, Cooler is hell bent on killing Goku, and making him pay for his brother's disgrace. Goku has to find the power within him to defeat a warrior even more powerful than the horrible Frieza."
The Scorpion King: Rise of a Warrior,2008,PG-13,"Action, Adventure, Fantasy","In Ancient Akkad, Mathayus grows up as the proud son of Ashur, a captain in the world-renowned military corps of Black Scorpions, first-rate bodyguards, most of which are sent to courts wide away. By objecting to young Mathayus joining the corps, Ashur incurs the undying enmity of ruthless generalissimo Sargon, gets killed and the orphaned knave is shipped off to a desolate training camp for six years by king Hammurabi's clemency. When he returns as a Black Scorpio, Sargon has bloodily seized the throne and demands cruel proof of blind loyalty. Mathayus refuses, becoming a chased hero. With youth friends, the resourceful Greek Pollux and various mercenary warriors, he embarks on a daring quest to obtain a legendary sword from Sargon's magical ally, the war-goddess Astarte."
Lone Survivor,2013,R,"Action, Biography, Drama","Marcus Luttrell, a Navy Seal, and his team set out on a mission to capture or kill notorious Taliban leader Ahmad Shah, in late June 2005. After running into mountain herders and capturing them, they were left with no choice but to follow their rules of engagement or be imprisoned. Now Marcus and his team are left to fight for their lives in one of the most valiant efforts of modern warfare."
Blended,2014,PG-13,"Comedy, Romance","After a blind date gone horribly wrong, Jim and Lauren agree they never, ever want to see each other again. Well, that's all about to change when the two find themselves and their respective families (including children) all stuck together in one suite at an African Safari vacation spot."
Dark Shadows,2012,PG-13,"Comedy, Fantasy, Horror","In the year 1752, Joshua and Naomi Collins, with young son Barnabas, set sail from Liverpool, England to start a new life in America. But even an ocean was not enough to escape the mysterious curse that has plagued their family. Two decades pass and Barnabas (Johnny Depp) has the world at his feet-or at least the town of Collinsport, Maine. The master of Collinwood Manor, Barnabas is rich, powerful and an inveterate playboy...until he makes the grave mistake of breaking the heart of Angelique Bouchard (Eva Green). A witch, in every sense of the word, Angelique dooms him to a fate worse than death: turning him into a vampire, and then burying him alive. Two centuries later, Barnabas is inadvertently freed from his tomb and emerges into the very changed world of 1972. He returns to Collinwood Manor to find that his once-grand estate has fallen into ruin. The dysfunctional remnants of the Collins family have fared little better, each harboring their own dark secrets. Matriarch Elizabeth Collins Stoddard (Michelle Pfeiffer) has called upon live-in psychiatrist, Dr. Julia Hoffman (Helena Bonham Carter), to help with her family troubles."
Skyfall,2012,PG-13,"Action, Adventure, Thriller","When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory (Ralph Fiennes), the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve (Naomie Harris) - following a trail to the mysterious Silva (Javier Bardem), whose lethal and hidden motives have yet to reveal themselves."
Boyhood,2014,R,Drama,"Filmed over 12 years with the same cast, Richard Linklater's BOYHOOD is a groundbreaking story of growing up as seen through the eyes of a child named Mason (a breakthrough performance by Ellar Coltrane), who literally grows up on screen before our eyes. Starring Ethan Hawke and Patricia Arquette as Mason's parents and newcomer Lorelei Linklater as his sister Samantha, BOYHOOD charts the rocky terrain of childhood like no other film has before. Snapshots of adolescence from road trips and family dinners to birthdays and graduations and all the moments in between become transcendent, set to a soundtrack spanning the years from Coldplay's Yellow to Arcade Fire's Deep Blue. BOYHOOD is both a nostalgic time capsule of the recent past and an ode to growing up and parenting."
The Big Year,2011,PG,Comedy,"In birding, a Big Year is seeing or hearing as many different species of birds as possible in a calendar year. Three men pursue the Birder of the Year title: Kenny Bostick, who's seen a record 732 in a past big year, Stu Preissler, newly retired, and Brad Harris, who narrates the story. Life gets in the way: Bostick's wife wants a baby, Stu's firm needs him for sensitive negotiations, and Brad, divorced and underemployed at 36, has an encouraging mom and a disapproving dad. They criss-cross the continent (including a trip to Alaska's westernmost island), follow migration patterns, and head for storms that force birds to ground. Who will win, at what cost, and with what rewards?"
Parental Guidance,2012,PG,"Comedy, Family","The parents of Alice, a controlled mom, agree to take care of her 3 crazy children, Harper, Turner and Barker, because they feel they don't see their grandchildren enough, when Alice and her husband Phil go on a business trip for Phil. But when everything goes downhill, they need to find a way to prove to Alice, Phil, and themselves that they can be great grandparents."
Silver Linings Playbook,2012,R,"Comedy, Drama, Romance","Against medical advice and without the knowledge of her husband Pat Solatano Sr., caring Dolores Solatano discharges her adult son, Pat Solatano Jr., from a Maryland mental health institution after his minimum eight month court ordered stint. The condition of the release includes Pat Jr. moving back in with his parents in their Philadelphia home. Although Pat Jr.'s institutionalization was due to him beating up the lover of his wife Nikki, he was diagnosed with bipolar disorder. Nikki has since left him and has received a restraining order against him. Although he is on medication (which he doesn't take because of the way it makes him feel) and has mandatory therapy sessions, Pat Jr. feels like he can manage on the outside solely by healthy living and looking for the ""silver linings"" in his life. His goals are to get his old job back as a substitute teacher, but more importantly reunite with Nikki. He finds there are certain instances where he doesn't cope well, however no less so than some others who have never been institutionalized, such as his Philadelphia Eagles obsessed father who has resorted to being a bookie to earn a living, his best friend Ronnie who quietly seethes over the control wielded by his wife Veronica, and Veronica's widowed sister, Tiffany Maxwell, a girl with problems of her own. In their fragile mental states, Pat Jr. and Tiffany embark on a love/hate friendship based primarily on what help the other can provide in achieving their individual goals. But they may reevaluate their goals as their relationship progresses."
Iron Sky,2012,R,"Action, Comedy, Sci-Fi","In the last moments of World War II, a secret Nazi space program evaded destruction by fleeing to the Dark Side of the Moon. During 70 years of utter secrecy, the Nazis construct a gigantic space fortress with a massive armada of flying saucers."
Dorothy Mills,2008,R,"Drama, Horror, Mystery","Jane Morton, a psychiatrist from Dublin in deep mourning following the accidental death of her husband and son, is assigned to work on the case of Dorothy Mills, a teenaged girl in a small village who tried to strangle a baby. After miraculously surviving a car accident, Jane discovers a village darkened by strange events and meets a very nervous Dorothy, who swears she never touched the baby. After analyzing the teenager, Jane makes a diagnosis of multiple personality disorder until the day that Dorothy speaks with the voice of David, Jane's dead son."
