Title,Year,Rated,Genre(s),Plot
The Amazing Spider-Man 2,2014,PG-13,"Action, Adventure, Sci-Fi","We've always known that Spider-Man's most important conflict has been within himself: the struggle between the ordinary obligations of Peter Parker and the extraordinary responsibilities of Spider-Man. But in The Amazing Spider-Man 2, Peter Parker finds that his greatest battle is about to begin. It's great to be Spider-Man. For Peter Parker, there's no feeling quite like swinging between skyscrapers, embracing being the hero, and spending time with Gwen. But being Spider-Man comes at a price: only Spider-Man can protect his fellow New Yorkers from the formidable villains that threaten the city. With the emergence of Electro, Peter must confront a foe far more powerful than he. And as his old friend, Harry Osborn, returns, Peter comes to realize that all of his enemies have one thing in common: Oscorp."
The Sessions,2012,R,"Biography, Comedy, Drama","At the age of 38, Mark O'Brien, a man who uses an iron lung, decides he no longer wishes to be a virgin. With the help of his therapist and his priest, he contacts Cheryl Cohen-Greene, a professional sex surrogate and a typical soccer mom with a house, a mortgage and a husband. Inspired by a true story, The Sessions, follows the fascinating relationship which evolves between Cheryl and Mark as she takes him on his journey to manhood."
Song of the Sea,2014,PG,"Animation, Adventure, Drama","Saoirse is a child who is the last of the selkies, women in Irish and Scottish legends who transform from seals into people. She escapes from her grandmother's home to journey to the sea and free fairy creatures trapped in the modern world."
Safety Not Guaranteed,2012,R,"Comedy, Drama, Romance","Darius is a young intern at a Seattle-based magazine and jumps at the chance to investigate the author of a classified ad seeking someone to travel back in time with. Along with Jeff, the staff writer, and Arnau, a fellow intern, the three go on a road trip to a coastal town. While Jeff just wants to chase after his high school crush and Arnau wants some kind of life experience, Darius spends her time with Kenneth, a man who believes that he has built a time machine. The closer they become and the more they understand about each other, the less clear it becomes if Kenneth is just crazy or if he actually is going to successfully travel back in time."
Undefeated,2011,PG-13,"Documentary, Sport","A documentary that follows the Manassas Tigers football team, a severely underfunded and underprivileged football team -- who were even hired out as a practice team for more successful schools -- as they reverse their fortunes, thanks to coach Bill Courtney."
Turbo,2013,PG,"Animation, Adventure, Comedy","After a freak accident infuses him with the power of super-speed, Turbo kicks into overdrive and embarks on an extraordinary journey to achieve the seemingly impossible: competing in the world's fastest race, the Indianapolis 500. With the help of his tricked-out streetwise snail crew, this ultimate underdog puts his heart and shell on the line to prove that no dream is too big, and no dreamer too small."
To Rome with Love,2012,R,"Comedy, Romance","In Rome, the America tourist Hayley meets the local lawyer Michelangelo on the street and soon they fall in love with each other. Hayley's parents, the psychiatrist Phyllis and the retired music producer Jerry, travel to Rome to meet Michelangelo and his parents. When Jerry listens to Michelangelo's father Giancarlo singing opera in the shower, he is convinced that he is a talented opera singer. But there is a problem: Giancarlo can only sing in the shower. The couple Antonio and Milly travel to Rome to meet Antonio's relatives that belong to the high society. Milly goes to the hairdresser while Antonio waits for her in the room. Milly gets lost in Rome and the prostitute Anna mistakenly goes to Antonio's room. Out of the blue, his relatives arrive in the room and they believe Anna is Antonio's wife. Meanwhile the shy Milly meets her favorite actor Luca Salta (Antonio Albanese) and goes to his hotel room ""to discuss about movies"". One day, the middle-class clerk Leopoldo becomes a celebrity and is hunted by the paparazzo. A couple of days later, he is forgotten by the media. The American architect John travels to Rome with his wife and feels nostalgic since he lived in the city thirty years ago when he was a student. He meets the student of architecture Jack, who lives on the same street that John had lived, and he invited to drink a coffee at his house. Jack lives with his girlfriend Sally (Greta Gerwig) that invites her best friend Monica to stay with them in their house. But soon Jack has a crush on Monica."
Resident Evil: Retribution,2012,R,"Action, Horror, Sci-Fi","Alice awakes at home with her daughter Becky and her husband. But soon she realizes that she is actually in an Umbrella Corporation's underground facility. Out of the blue, the computer security system shuts-down and Alice flees to the central control room of the facility. She meets Ada Wong, who works with Albert Wesker, and she learns that a five-man team has been sent by Wesker to rescue them. However, the Red Queen sends Jill Valentine and Rain to hunt them down."
End of Watch,2012,R,"Action, Crime, Drama","In South Central Los Angeles, street cops Brian and Mike are partners - balls-out cowboys patrolling the streets as Latino gangs are in a power struggle with Blacks. Brian and Mike get lucky a couple of times, making big drug and human-trafficking busts, so a Mexican cartel orders their deaths. We meet Mike's pregnant wife (whom he married out of high school) and watch Brian's search for a soul mate. There are internal squabbles within the ranks of the LAPD and lots of squad-car conversation. Can the lads escape the cartel's murderous reach?"
Percy Jackson: Sea of Monsters,2013,PG,"Adventure, Family, Fantasy","In this retelling of Rick Riordans book, ""The Sea of Monsters"", Percy Jackson, accompanied by his friends Annabeth Chase, Clarisse La Rue and Tyson, his half brother, goes on a journey to the Sea of Monsters to retrieve the Golden Fleece and save Camp Half-Blood."
