Title,Year,Rated,Genre(s),Plot
Ice Age: The Great Egg-Scapade,2016,TV-PG,"Animation, Short, Adventure","Scrat, Manny, Sid, Diego and the rest of your prehistoric pals from Ice Age are back for an all-new hilarious animated adventure! Business is booming at Sid's new egg-sitting service but when the dastardly pirate bunny Squint steals the eggs, Manny, Diego, and the rest of the gang take off on a daring rescue mission that turns into the world's first egg hunt."
Hush,2016,R,"Horror, Thriller",A deaf writer who retreated into the woods to live a solitary life must fight for her life in silence when a masked killer appears at her window.
Mother's Day,2016,PG-13,"Comedy, Drama","Follows the lives of different mothers on Mothers Day. Sandy (Aniston) is happily divorced, until she finds out her ex-husband eloped with a much younger woman. Now she must learn to deal with big changes in her life as her two boys now have a step-mom. Sisters Jesse (Hudson) and Gabi (Chalke) get an unexpected surprise from their mother, who is not happy to find out Gabi is a lesbian and Jesse is married to a man of color. Miranda (Roberts) doesn't have any kids and is focusing on her career. Kristin (Robertson) is enjoying life as a new mother but is feeling pressure from her boyfriend to get married. Bradley (Sudeikis) is trying hard to be the best parent for his two girls since their mom passed away last year, however his idea of Mothers Day is pretending it doesn't exist at all."
A Very Murray Christmas,2015,TV-MA,"Comedy, Music, Musical","Murray, playing himself, trying to avoid a Hollywood figure who wants to represent the actor, who famously forgoes having a manager or agent. And somewhere in there will be rooms for Christmas carols to be sung by the actors (everyone is playing themselves) and probably more bits and pieces of holiday cheer."
Neighbors 2: Sorority Rising,2016,R,Comedy,"Mac (Seth Rogen) and Kelly (Rose Byrne) are ready to make the final move into adulthood. But just as they thought they have reclaimed the neighborhood, they learn that their new neighbors are even more out of control than the last. To evict them, they will need help from their ex neighbor (Zac Efron)."
The Boy and the Beast,2015,PG-13,"Animation, Action, Adventure","The latest feature film from award-winning Japanese director Mamoru Hosoda (Summer Wars, Wolf Children): When Kyuta, a young orphan living on the streets of Shibuya, stumbles into a fantastic world of beasts, he's taken in by Kumatetsu, a gruff, rough-around-the-edges warrior beast who's been searching for the perfect apprentice. Despite their constant bickering, Kyuta and Kumatetsu begin training together and slowly form a bond as surrogate father and son. But when a deep darkness threatens to throw the human and beast worlds into chaos, the strong bond between this unlikely family will be put to ultimate test-a final showdown that will only be won if the two can finally work together using all of their combined strength and courage."
Jason Bourne,2016,PG-13,"Action, Thriller","Jason Bourne is again being hunted by the CIA. It begins when Nicky Parson a former CIA operative who helped Bourne, who went under and now works with a man who's a whistle blower and is out to expose the CIA's black ops. Nicky hacks into the CIA and downloads everything on all their Black Ops, including Treadstone which Bourne was a part of. And Heather Lee, a CIA agent, discovers the hack and brings it to the attention of CIA Director Dewey, the man behind the Black Ops. He orders Parsons be found and, hopefully, Bourne, too."
World of Tomorrow,2015,G,"Animation, Short, Comedy",A little girl is taken on a mind-bending tour of her distant future.
Keanu,2016,R,"Action, Comedy","Rell's life is changed forever when a cute kitten comes to his door, and he names it Keanu. Unfortunately, one weekend later, Keanu is abducted by persons unknown. Now Rell and his cousin, Clarence, are men on a mission to find Keanu against the odds. Unfortunately, those odds prove to be perilously high as they find Keanu in the care of the ruthless gangster, Cheddar, and he will only part with him for a price. Now for that cute kitten, these two middle class bumblers find themselves neck deep in a dangerous alien world of drugs and gang violence with only their desperate audacity, creativity and sheer dumb luck giving them a chance to survive."
The Shallows,2016,PG-13,"Drama, Horror, Thriller","In the taut thriller The Shallows, when Nancy (Blake Lively) is surfing on a secluded beach, she finds herself on the feeding ground of a great white shark. Though she is stranded only 200 yards from shore, survival proves to be the ultimate test of wills, requiring all of Nancy's ingenuity, resourcefulness, and fortitude."
