Plot,Title,Year
"John Kimble is a tough city cop who's been on the trail of drug dealer Cullen Crisp for years. He finally tracks Crisp down but it seems the only person that can testify against him is his ex-wife. The problem is she's disappeared and all Kimble knows is the name of the school in Oregon where her son attends. When things don't quite go to plan, Kimble finds he has to go undercover on his toughest assignment yet - Kindergarten teacher!",Kindergarten Cop,1990
"Joe versus the Volcano is a fable which opens with somewhat surrealistic scenes of the dehumanization of Joe Bank's job and work environment (at a company whose product rather literally screws people) with imagery that seems to have been inspired by the classic film Metropolis. Joe is diagnosed with an incurable disease, quits his dehumanizing job, and accepts an offer to briefly ""live like a king, die like a man"" - but to fulfill his agreement he must willingly jump into a live volcano on the island of Waponi Woo in order to appease the volcano god. En route to the island, Joe meets a series of interesting characters in NYC and LA, then boards a yacht, captained by Patricia Graynamore. During the voyage Joe and Patricia survive disaster, fall in love, and finally arrive at the island where they face their destiny.",Joe Versus the Volcano,1990
"A Jewish boy, separated from his family in the early days of WWII, poses as a German orphan and is thereafter taken into the heart of the Nazi world as a 'war hero' and eventually made a Hitler Youth. Although improbabilities and happenstance are cornerstones of the film, it is based upon a true story.",Europa Europa,1990
"Set in a Fascistic future America, The Handmaid's Tale tells the story of Kate, a handmaid. In this America, the religious right has taken over and gone hog-wild. Kate is a criminal, guilty of the crime of trying to escape from the US, and is sentenced to become a Handmaid. The job of a Handmaid is to bear the children of the man to whom she is assigned. After ruthless group training by Aunt Lydia in the proper way to behave, Kate is assigned as Handmaid to the Commander. Kate is attracted to Nick, the Commander's chauffeur. At the same time, a resistance movement begins to challenge the regime.",The Handmaid's Tale,1990
"George Faure is a Frenchman who has been offered a job in the U.S. But in order to get the job he must obtain a work permit - green card, and the easiest way is to marry an American. Bronte Parrish is a New Yorker who is a keen horticulturist and just found the perfect flat with its own greenhouse. Unfortunately the flat is for married couples only. A marriage of convenience seems the ideal solution to both problems. To convince the immigration officers they are married for love, they must move in with each other. As the mismatched couple attempt to cope with life together, they start to fall in love.",Green Card,1990
"A young boy's life in turn-of-the-century France. Marcel, witnesses the success of his teacher father, as well as the success of his arrogant Uncle Jules. Marcel and family spend their summer vacation in a cottage in Provence, and Marcel befriends a local boy who teaches him the secrets of the hills in Provence.",My Father's Glory,1990
"Clark Kellogg is a young man starting his first year at film school in New York City. After a small time crook steals all his belongings, Clark meets Carmine ""Jimmy the Toucan"" Sabatini, an ""importer"" bearing a startling resemblance to a certain cinematic godfather. When Sabatini makes Clark an offer he can't refuse, he finds himself caught up in a caper involving endangered species and fine dining.",The Freshman,1990
"After his bombardier is killed, Jake ""Cool Hand"" Grafton (Brad Johnson)', a carrier-based Intruder pilot, questions the purpose of Navy bombing missions. He finds an ally for his cynicism in Virgil Cole, a bombardier on his third tour of duty, and together they ponder the notion of one unsanctioned mission ""downtown"", to ""Sam City"" in North Vietnam.",Flight of the Intruder,1991
"Peyton Westlake is a scientist who has discovered a way to produce synthetic skin. This could revolutionise skin grafting, except for one minor glitch; the synthetic skin degrades after 100 minutes of exposure to light. When gangsters attack Peyton, he is horrifically burnt, and assumed dead. In his quest for revenge, Peyton, aka the Darkman, is able to take on the appearance of anyone (using the synthetic skin,) but he only has 100 minutes per disguise.",Darkman,1990
"Every holiday Marcel and his family go to their cottage in the Provence (France). He likes the hills in this region. Before they arrive at the cottage they have to walk about 5 miles. With the co-operation of an ex-pupil of Marcel's father, who's a teacher, they only have to walk 1 mile, since they can take a shortcut along a canal, through the backyards of some eccentric people. During one of these holidays he meets Isabelle, a pretty but conceited girl...",My Mother's Castle,1990
"Joe's a car salesman with a problem. He has two days to sell 12 cars or he loses his job. This would be a difficult task at the best of times but Joe has to contend with his girlfriends (he's two timing), a missing teenage daughter and an ex-wife. What more could go wrong ?.. a lot, enter a crazy jealous husband with a machine gun..",Cadillac Man,1990
