Plot,Title,Year
"When police funding is cut, the Governor announces he must close one of the academies. To make it fair, the two police academies must compete against each other to stay in operation. Mauser persuades two officers in Lassard's academy to better his odds, but things don't quite turn out as expected...",Police Academy 3: Back in Training,1986
"A 43-year-old mother and housewife who's facing divorce is thrust back in time when she attends her high-school reunion. Given the chance to change the course of her life, she finds herself making many of the same choices.",Peggy Sue Got Married,1986
"With a name like Hoops McCann, he's bound to get that basketball scholarship after high school, right? Wrong! What Hoops really wants to do is write and illustrate a love story. To help him find his way, his friend George invites Hoops to come with him and his sister to spend the summer on Nantucket. The friends Crazy Summer begins when they pickup Cassandra on the way--she's being chased by a motorcycle gang. From here on in, it only gets crazier. Once on the island, Hoops and George, along with George's island friends the Stork twins and Ack-Ack (son of a marine), must help Cassandra save her grandfather's house from the greedy Beckersted Family. Along the way, Hoops must find a way to write his cartoon love story - and maybe a real one of his own.",One Crazy Summer,1986
"David Basner is a successful advertising executive who has it all: Money, happiness, and women who want him. Then one day his world falls apart when his mother leaves his father. Now, he must balance his life between his mother, who is happy with her newfound independence, and his father, a recently laid off salesman who is hard-headed, stubborn, and hides a lot from David. Now David must cope with the downfall of his family and his life.",Nothing in Common,1986
"Professor Paris Catalano visits Venice, to investigate the last known appearance of the famous vampire Nosferatu during the carnival of 1786.",Vampire in Venice,1988
"1327. After a mysterious death in a Benedictine Abbey, the monks are convinced that the apocalypse is coming. With the Abbey to play host to a council on the Franciscan's Order's belief that the Church should rid itself of wealth, William of Baskerville, a respected Franciscan friar, is asked to assist in determining the cause of the untimely death. Alas, more deaths occur as the investigation draws closer to uncovering the secret the Abbey wants hidden, and there is finally no stopping the Holy Inquisition from taking an active hand in the process. William and his young novice must race against time to prove the innocence of the unjustly accused and avoid the wrath of Holy Inquisitor Bernardo Gui.",The Name of the Rose,1986
"Walter Fielding and Anna Crowley have to start looking for a new house- but there's not much they can afford! This soon changes when they meet a lonely old con artist who sells them a beautiful mansion at a ridiculously low price. Only there's a catch. The second they move into the house it falls apart, starting with the stairway collapsing to the bathtub falling through the floor to eventually the chimney falling into the house! Finally, they have to renovate the house before the frame collapses but the renovations also prove to be a disaster.",The Money Pit,1986
"George, after getting out of prison, begins looking for a job, but his time in prison has reduced his stature in the criminal underworld. The only job he can find is to be a driver for Simone, a beautiful high-priced call girl, with whom he forms an at first grudging, and then real affection. Only Simone's playing a dangerous game, and when George agrees to help her, they both end up in a huge amount of trouble with Mortwell, the local kingpin.",Mona Lisa,1986
"When Earth passes through the tail of Rea-M rogue comet, the machines come to life and threaten and kill the mankind. A group of survivors is under siege of fierce trucks in the Dixie Boy truck stop in a gas station and they have to fight to survive.",Maximum Overdrive,1986
"The teenager Sarah is forced by her father and her stepmother to babysit her baby brother Toby while they are outside home. Toby does not stop crying and Sarah wishes that her brother be taken by the Goblin King. Out of the blue, Toby stops crying and when Sarah looks for him in the cradle, she learns that he wish was granted and the Goblin King Jarethhas taken him to his castle in the Goblin City in the middle of a labyrinth. Sarah repents an asks Jareth to give Toby back; but the Goblin King tells that she has to rescue her brother before midnight, otherwise Toby will be turned into a goblin. Soon Sarah teams up with the coward goblin Hoggle, the beast Ludo and the knight Didymus and his dog Ambrosius in her journey. Will they rescue Toby in time?",Labyrinth,1986
"A giant ape King Kong, which was shot and fell off the World Trade Center tower, appears to be alive, but is in coma for 10 years and desperately needs a blood transfusion in order to have an artificial heart implanted. Suddenly, in the rainforest, another gigantic ape is found - this time a female. She is brought to the USA, and the heart is successfully implanted. But then King Kong, having sensed the female ape, breaks loose.",King Kong Lives,1986
Picks up where the first movie (Karate Kid) leaves off. Mr. Miyagi and Daniel take a trip to Okinawa to visit Mr Miyagi's dying father. After arriving Mr Miyagi finds he still has feelings for an old love. This stirs up trouble with an old rival that he originally left Okinawa to avoid. In the mean time Daniel encounters a new love and also makes some enemies.,The Karate Kid Part II,1986
"Terry works for a bank, and uses computers to communicate with clients all over the world. One day she gets a coded message from an unknown source. After decoding the message, Terry becomes embroiled in an espionage ring. People are killed, and Terry is chased. Throughout she remains in contact with this unknown person, who needs Terry to help save his life.",Jumpin' Jack Flash,1986
A scientific experiment unknowingly brings extraterrestrial life forms to the Earth through a laser beam. First is the cigar smoking drake Howard from the duck's planet. A few kids try to keep him from the greedy scientists and help him back to his planet. But then a much less friendly being arrives through the beam...,Howard the Duck,1986
Roger Cobb is a Vietnam vet whose career as a horror novelist has taken a turn for the worse when his son Jimmy mysteriously disappears while visiting his aunt's house. Roger's search for Jimmy destroys his marriage and his writing career. The sudden death of his aunt brings Roger back to the house where his nightmares began. The evil zombies in the house force Roger to endure a harrowing journey into his past.,House,1985
