Plot,Title,Year
"In late 1944, even as they faced imminent defeat, the Nazis expended enormous resources to kill or deport over 425,000 Jews during the ""cleansing"" of Hungary. This Oscar-winning documentary, executive produced by Steven Spielberg, focuses on the plight of five Hungarian Jews who survived imprisonment in Auschwitz. Though these survivors recount the horrors they witnessed and endured as a result of the Nazis' ""Final Solution,"" their individual triumphs are a testament to hope and humanity.",The Last Days,1998
"The lucky winner of the national lottery is Ned Devine, so taken by his good fortune that he now can't be waked, because he died from the shock of it! News of the win spread quickly in the scenic little Irish village of Tully More, but not the secret news of Ned's demise. With lottery officials closing in to confirm the prize claimed by the deceased Devine, Ned's closest friends scheme to keep the prize money close to home, in memory of Ned of course! But as the plot twists humorously, they learn it is hard is to keep such a secret in a small town.",Waking Ned Devine,1998
"Jerry Springer stars as more or less himself, the host of a raunchy, controversial and popular Los Angeles talk show which features everyday people with problems and who frequently vent their problems on the air. A new group of guests are flown in for one show who include white trailer trash from Sarasota FL; Connie, whose current husband has cheated on her with her nymphomaniac teenage daughter, Angel, for which Connie has gotten revenge by having sex with Angel's fiance; and from Detroit, black trash Starletta, whose boyfriend, Damone, has slept with all of her girlfriends. Soon the paths of all of these parties cross which leads to more sex, arguments, physical violence, and Jerry sweating out just another day.",Ringmaster,1998
"A Cherry Pontiac Lemans Convertible...Two Days...Two-Hundred & Fifty Grand. When your lemon lot hits the skids you glom the gig no matter what the smell. For Bob and Sid, two slicked-back burnouts, bum luck runs in spades. With a goose-egg for cash flow and a fore-closure falling fast, they take the gig. The Upside: Fat Cash...The Flipside...Every Thug, Crook, Punk and Mercenary on the planet looking to get rich.","Blood, Guts, Bullets and Octane",1998
"She's All That is your typical high school prom king and queen story and the run in defending the star status in the upcoming election. High school hottie, Zack Siler is dumped by his prom-queen girlfriend, the equally attractive and extremely popular, Taylor Vaughan who fell for a second-hand world reject TV soap star who she met over the spring break. Having been publicly dumped, Zack defends his discomposure by stating that Taylor is all make-up and wonder-bra and he can make any ordinary girl a prom queen with a similar package. His high-school buddy, Dean Sampson, engages him in a bet following this statement and picks the geeky looking Laney Boggs out of the crowd as the girl Zack must transform into the new prom queen. Zack agrees since he has no option, but as time passes and Laney begins to transform, Zack begins to find her attractive. While all that falls beautifully in place, it's not your typical fairy-tale. Throw in Dean Sampson to complicate the situation, as when he first made the bet he never thought that Zack could rise to the challenge but looking at how Laney has transformed, it looks like Zack could be on a winning streak.",She's All That,1999
"Marion Crane steals a lot of cash from a man whom her boss is in business with. On the way to see her boyfriend, she stops off by an old motel, run by the odd Norman Bates. She is murdered in the shower. Her sister, boyfriend, and a private investigator try to find out where she is, while we learn more about Norman Bates.",Psycho,1998
"A college student experiences difficulty in getting home for Christmas after being hazed by his friends. While struggling to get home in time for Christmas, he learns quite a bit about himself and the true meaning of the holiday.",I'll Be Home for Christmas,1998
"The Father turns 60. His family, which is a big one of the kind, gathers to celebrate him on a castle. Everybody likes and respects the father deeply...or do they? The youngest son is trying to live up to the father's expectations. He is running a grill-bar in a dirty part of Copenhagen. The oldest son runs a restaurant in France, while the sister is a anthropologist. The older sister has recently committed suicide and the father asks the oldest son to say a few words about her, because he is afraid he will break into tears if he does it himself. The oldest son agrees without argument. Actually he has already written two speeches. A yellow and a green one. By the table, he asks the father to pick a speech. The father chooses green. The oldest son announces that this is the Speech of Truth. Everybody laughs, except for the father who gets a nervous look on his face. For he knows that the oldest son is about to reveal the secret of why the oldest sister killed herself.",The Celebration,1998
"Two thirtysomethings, unemployed former alcoholic Joe and community health worker Sarah, start a romantic relationship in the one of the toughest Glasgow neighbourhoods.",My Name Is Joe,1998
"British sisters Hilary du Pré and Jacqueline du Pré are both talented musicians, Hilary a flautist, Jackie a cellist. With regard to their musical prowess, they have always had a friendly competitive nature with each other, fueled in large part by the want of their pianist mother, Iris, for them to achieve musical greatness. But underlying this friendliness is a deep desire to be truly better than the other. Despite or perhaps in part because of her flamboyant performance style, the younger Jackie emerges from the shadows of older Hilary's more triumphant childhood successes to become the renowned musician in the family. Although both continue with their music and both end up marrying (Hilary to Kiffer Finzi, and Jackie to pianist Daniel Barenboim), Hilary focuses on her home life, whereas Jackie focuses on her career. A seemingly odd request by Jackie to Hilary is later understood, but Hilary's agreement to that request demonstrates the true nature of their loving but unusual sisterly relationship.",Hilary and Jackie,1998
