movieId,title,imdbId
106111,Marc Maron: Thinky Pain (2013),3004634
117192,Doctor Who: The Time of the Doctor (2013),2986512
112460,Planes: Fire & Rescue (2014),2980706
113275,The Hundred-Foot Journey (2014),2980648
113862,"Guest, The (2014)",2980592
117176,The Theory of Everything (2014),2980516
133545,Just Before I Go (2014),2980472
136864,Batman v Superman: Dawn of Justice (2016),2975590
112818,"Purge: Anarchy, The (2014)",2975578
116419,Drive Hard (2014),2968804
133798,Hot Pursuit (2015),2967224
136654,The Face of an Angel (2015),2967008
113064,"Trip to Italy, The (2014)",2967006
120392,Comet (2014),2965412
112921,Once My Mother (2014),2956808
134158,Return to Sender (2015),2948790
130642,Backcountry (2014),2944198
118898,A Most Violent Year (2014),2937898
132961,Far from the Madding Crowd (2015),2935476
129250,Superfast! (2015),2933474
126420,American Heist (2015),2923316
130083,Kidnapping Mr. Heineken (2015),2917388
115149,John Wick (2014),2911666
109740,Obvious Child (2014),2910274
130490,Insurgent (2015),2908446
127178,99 Homes (2014),2891174
112804,I Origins (2014),2884206
111443,Chef (2014),2883512
111360,Lucy (2014),2872732
115569,Nightcrawler (2014),2872718
116413,Life Partners (2014),2870808
113225,Magic in the Moonlight (2014),2870756
137337,Amy (2015),2870648
113780,"As Above, So Below (2014)",2870612
142068,Tiger Orange (2014),2866824
113741,Coherence (2013),2866360
133419,Pitch Perfect 2 (2015),2848292
112550,White God (Fehér isten) (2014),2844798
107516,Punk's Dead: SLC Punk! 2 (2014),2836166
130634,Furious 7 (2015),2820852
103659,Justice League: The Flashpoint Paradox (2013),2820466
119145,Kingsman: The Secret Service (2015),2802144
138546,The Opposite Sex (2014),2796678
117434,Starry Eyes (2014),2793490
132800,Welcome to Me (2014),2788716
119141,The Interview (2014),2788710
118924,Top Five (2014),2784678
111663,Zombeavers (2014),2784512
118260,The Borderlands (2013),2781832
106642,"Day of the Doctor, The (2013)",2779318
109864,Veronica Mars (2014),2771372
131168,Phoenix (2014),2764784
122490,Wicked Blood (2014),2761578
136666,Search Party (2014),2758904
113829,"One I Love, The (2014)",2756032
116849,Sex Ed (2014),2751310
110194,Mistaken for Strangers (2013),2737310
113705,"Two Days, One Night (Deux jours, une nuit) (2014)",2737050
103596,Sharknado (2013),2724064
115216,"Salvation, The (2014)",2720680
106452,Ida (2013),2718492
120637,Blackhat (2015),2717822
112399,Finding Vivian Maier (2013),2714900
115210,Fury (2014),2713180
135436,The Secret Life of Pets (2016),2709768
110882,Locke (2013),2692904
119155,Night at the Museum: Secret of the Tomb (2014),2692250
133195,Hitman: Agent 47 (2015),2679042
115680,Time Lapse (2014),2669336
135569,Star Trek 3 (2016),2660888
130576,Midnight Special (2015),2649554
115174,Love Is Strange (2014),2639344
122888,Ben-hur (2016),2638144
135861,Ted 2 (2015),2637276
130980,The Day That Lasted 21 Years (2012),2634236
129009,"Getting Go, the Go Doc Project (2013)",2623502
116660,Free Fall (2013),2617828
106011,"Blue Umbrella, The (2013)",2616880
100745,TPB AFK: The Pirate Bay Away from Keyboard (2013),2608732
111921,The Fault in Our Stars (2014),2582846
112552,Whiplash (2014),2582802
127202,Me and Earl and the Dying Girl (2015),2582496
110110,Starred Up (2013),2567712
112183,Birdman: Or (The Unexpected Virtue of Ignorance) (2014),2562232
131013,Get Hard (2015),2561572
111913,Lilting (2014),2560102
111743,A Million Ways to Die in the West (2014),2557490
115151,Plastic (2014),2556874
129428,The Second Best Exotic Marigold Hotel (2015),2555736
104272,Blackfish (2013),2545118
118326,By the Gun (2014),2543702
132146,The Harvest (2013),2543336
111228,"Fragile Trust: Plagiarism, Power, and Jayson Blair at the New York Times, A (2013)",2525342
110348,Wetlands (Feuchtgebiete) (2013),2524674
132547,A Girl Like Her (2015),2523832
113640,"Canal, The (2014)",2517658
107636,Springsteen & I (2013),2513616
109295,Cold Comes the Night (2013),2511428
104069,Louis C.K.: Oh My God (2013),2510998
115502,"Rewrite, The (2014)",2509850
