movieId,title,imdbId
5053,Blankman (1994),109288
5096,Baby's Day Out (1994),109190
4458,Africa: The Serengeti (1994),109049
4749,3 Ninjas Kick Back (1994),109015
4686,Weekend at Bernie's II (1993),108539
4067,Untamed Heart (1993),108451
5164,"Troll in Central Park, A (1994)",108395
4711,Theremin: An Electronic Odyssey (1993),108323
4846,Iron Monkey (Siu nin Wong Fei-hung ji: Tit Ma Lau) (1993),108148
5103,"Sandlot, The (1993)",108037
5102,Rookie of the Year (1993),107985
3920,"Faraway, So Close (In weiter Ferne, so nah!) (1993)",107209
5111,"Good Son, The (1993)",107034
4047,Gettysburg (1993),107007
5055,Dragon: The Bruce Lee Story (1993),106770
3835,"Crush, The (1993)",106627
3761,"Blood In, Blood Out (1993)",106469
4569,Best of the Best 2 (1993),106393
5076,"Adventures of Huck Finn, The (1993)",106223
3810,White Sands (1992),105813
5023,"Waterdance, The (1992)",105789
4354,Unlawful Entry (1992),105699
4409,Shadows and Fog (1991),105378
4063,Prelude to a Kiss (1992),105165
5018,Motorama (1991),104922
4060,Love Field (1992),104765
3919,Hellraiser III: Hell on Earth (1992),104409
3802,Freejack (1992),104299
5159,Ferngully: The Last Rainforest (1992),104254
4748,3 Ninjas (1992),103596
3809,What About Bob? (1991),103241
5034,"Truly, Madly, Deeply (1991)",103129
4351,Point Break (1991),102685
4862,Not Without My Daughter (1991),102555
4221,Necessary Roughness (1991),102517
3869,"Naked Gun 2 1/2: The Smell of Fear, The (1991)",102510
4061,The Man in the Moon (1991),102388
4317,Love Potion #9 (1992),102343
4787,Little Man Tate (1991),102316
3774,House Party 2 (1991),102065
4203,Harley Davidson and the Marlboro Man (1991),102005
4290,For the Boys (1991),101902
3764,F/X2 (a.k.a. F/X 2 - The Deadly Art of Illusion) (1991),101846
4200,Double Impact (1991),101764
4040,Don't Tell Mom the Babysitter's Dead (1991),101757
4321,City Slickers (1991),101587
4688,Black Robe (1991),101465
4980,Bill & Ted's Bogus Journey (1991),101452
4183,"Unbelievable Truth, The (1989)",100842
3942,Sorority House Massacre II (1990),100663
3940,Slumber Party Massacre III (1990),100639
5033,"Russia House, The (1990)",100530
4211,Reversal of Fortune (1990),100486
4318,Postcards From the Edge (1990),100395
4205,Mermaids (1990),100140
4951,Lord of the Flies (1990),100054
4216,Longtime Companion (1990),100049
