movieId,title,imdbId
3773,House Party (1990),99800
3765,"Hot Spot, The (1990)",99797
4174,Avalon (1990),99073
5027,Another 48 Hrs. (1990),99044
4392,Alice (1990),99012
3841,Air America (1990),99005
4684,Worth Winning (1989),98678
4682,Warlock (1989),98622
4681,"War of the Roses, The (1989)",98621
4680,Vampire's Kiss (1989),98577
4679,Uncle Buck (1989),98554
4678,UHF (1989),98546
4677,Turner & Hooch (1989),98536
4279,True Believer (1989),98524
4676,Troop Beverly Hills (1989),98519
4675,Three Fugitives (1989),98471
4674,Tap (1989),98442
4673,Tango & Cash (1989),98439
3844,Steel Magnolias (1989),98384
4667,Slaves of New York (1989),98347
4666,Skin Deep (1989),98343
4664,Shirley Valentine (1989),98319
4663,She's Out of Control (1989),98308
4352,Shag (1989),98300
4662,"See No Evil, Hear No Evil (1989)",98282
4661,Sea of Love (1989),98273
4660,Scenes from the Class Struggle in Beverly Hills (1989),98261
4659,Scandal (1989),98260
4658,Santa Sangre (1989),98253
4655,Romero (1989),98219
4654,Road House (1989),98206
4652,"Return of Swamp Thing, The (1989)",98193
4636,"Punisher, The (1989)",98141
4634,Penn & Teller Get Killed (1989),98073
4632,"Package, The (1989)",98051
4630,No Holds Barred (1989),97987
4629,Next of Kin (1989),97967
4628,New York Stories (1989),97965
4627,Miss Firecracker (1989),97892
4626,Miracle Mile (1989),97889
4625,Millennium (1989),97883
4624,Meet the Feebles (1989),97858
4623,Major League (1989),97815
4622,Loverboy (1989),97790
4621,Look Who's Talking (1989),97778
4619,Little Monsters (1989),97758
4618,Leviathan (1989),97737
4617,Let It Ride (1989),97731
4616,Lean on Me (1989),97722
4615,Last Exit to Brooklyn (1989),97714
4614,Kickboxer (1989),97659
4612,Jesus of Montreal (Jésus de Montréal) (1989),97635
4610,"January Man, The (1989)",97613
4608,"Innocent Man, An (1989)",97579
4606,Immediate Family (1989),97567
4605,How to Get Ahead in Advertising (1989),97531
4603,Her Alibi (1989),97500
4602,Harlem Nights (1989),97481
4600,Gross Anatomy (a.k.a. A Cut Above) (1989),97458
4593,Family Business (1989),97328
4592,"Experts, The (1989)",97314
4591,Erik the Viking (1989),97289
4590,Enemies: A Love Story (1989),97276
4587,Earth Girls Are Easy (1988),97257
4584,Dream a Little Dream (1989),97236
4585,"Dream Team, The (1989)",97235
4213,Deepstar Six (1989),97179
4491,Criminal Law (1988),97125
3758,Communion (1989),97100
4578,Chances Are (1989),97044
4577,Casualties of War (1989),97027
4008,Born on the Fourth of July (1989),96969
4573,Blaze (1989),96943
4572,Black Rain (1989),96933
4571,Bill & Ted's Excellent Adventure (1989),96928
4570,"Big Picture, The (1989)",96926
4567,American Ninja 3: Blood Hunt (1989),96804
4564,Always (1989),96794
4467,"Adventures of Baron Munchausen, The (1988)",96764
4563,Young Einstein (1988),96486
4562,Without a Clue (1988),96454
4561,Waxwork (1988),96426
4560,Watchers (1988),96425
4559,Vice Versa (1988),96380
4558,Twins (1988),96320
4557,Tucker: The Man and His Dream (1988),96316
4555,Torch Song Trilogy (1988),96289
4553,They Live (1988),96256
4552,"Tetsuo, the Ironman (Tetsuo) (1988)",96251
4181,Tapeheads (1988),96223
4009,Talk Radio (1988),96219
4550,Switching Channels (1988),96203
4546,"Vanishing, The (Spoorloos) (1988)",96163
4544,Short Circuit 2 (1988),96101
4543,Shoot to Kill (1988),96098
4003,She's Having a Baby (1988),96094
4541,"Serpent and the Rainbow, The (1988)",96071
4539,Salsa (1988),96030
4538,Salome's Last Dance (1988),96029
4537,Running on Empty (1988),96018
4534,Return to Snowy River (a.k.a. The Man From Snowy River II) (1988),95993
4532,Return of the Living Dead Part II (1988),95990
4531,Red Heat (1988),95963
4012,Punchline (1988),95927
3840,Pumpkinhead (1988),95925
3837,Phantasm II (1988),95863
4529,Bagdad Cafe (Out of Rosenheim) (1987),95801
4528,Off Limits (1988),95774
4527,"Night in the Life of Jimmy Reardon, A (1988)",95736
3868,"Naked Gun: From the Files of Police Squad!, The (1988)",95705
4062,Mystic Pizza (1988),95690
4526,My Stepmother Is an Alien (1988),95687
4524,Moon Over Parador (1988),95654
4326,Mississippi Burning (1988),95647
4523,Milagro Beanfield War (1988),95638
4522,Masquerade (1988),95599
4521,Little Nikita (1988),95532
4520,License to Drive (1988),95519
4519,"Land Before Time, The (1988)",95489
4518,The Lair of the White Worm (1988),95488
4859,Kansas (1988),95428
4516,Johnny Be Good (1988),95409
4515,Imagine: John Lennon (1988),95360
4066,I'm Gonna Git You Sucka (1988),95348
4511,High Spirits (1988),95304
3918,Hellbound: Hellraiser II (1988),95294
4509,"Great Outdoors, The (1988)",95253
4508,Gorillas in the Mist (1988),95243
4506,Frantic (1988),95174
