movieId,title,imdbId
2494,"Last Days, The (1998)",174852
2359,Waking Ned Devine (a.k.a. Waking Ned) (1998),166396
2386,Jerry Springer: Ringmaster (1998),165494
2487,"Blood, Guts, Bullets and Octane (1998)",163984
2485,She's All That (1999),160862
2389,Psycho (1998),155975
2339,I'll Be Home For Christmas (1998),155753
2360,"Celebration, The (Festen) (1998)",154420
2481,My Name Is Joe (1998),151691
2442,Hilary and Jackie (1998),150915
1901,Dear Jesse (1997),150290
2323,"Cruise, The (1998)",150230
2482,Still Crazy (1998),149151
2318,Happiness (1998),147612
2390,Little Voice (1998),147004
2279,Urban Legend (1998),146336
2491,Simply Irresistible (1999),145893
2443,Playing by Heart (1998),145734
2438,Outside Ozona (1998),144546
2315,Bride of Chucky (Child's Play 4) (1998),144120
2434,Down in the Delta (1998),142231
1865,Wild Man Blues (1997),141986
2392,Jack Frost (1998),141109
2357,Central Station (Central do Brasil) (1998),140888
2152,Air Bud: Golden Receiver (1998),140796
1922,Whatever (1998),140688
1796,In God's Hands (1998),140282
2447,Varsity Blues (1999),139699
2305,Slam (1998),139615
1897,High Art (1998),139362
2492,20 Dates (1998),138987
1921,Pi (1998),138704
1856,Kurt & Courtney (1998),138563
2486,"24 Hour Woman, The (1998)",138279
2396,Shakespeare in Love (1998),138097
2029,Billy's Hollywood Screen Kiss (1997),137386
2026,Disturbing Behavior (1998),134619
2354,"Rugrats Movie, The (1998)",134067
2334,"Siege, The (1998)",133952
2428,"Faculty, The (1998)",133751
2445,At First Sight (1999),132512
2060,BASEketball (1998),131857
1886,I Got the Hook Up (1998),131436
2338,I Still Know What You Did Last Summer (1998),130018
1923,There's Something About Mary (1998),129387
2431,Patch Adams (1998),129290
2424,You've Got Mail (1998),128853
2395,Rushmore (1998),128445
2231,Rounders (1998),128442
2493,"Harmonists, The (1997)",128133
1895,Can't Hardly Wait (1998),127723
2440,Another Day in Paradise (1998),127722
2336,Elizabeth (1998),127536
1903,Hav Plenty (1997),126938
2282,Pecker (1998),126604
1910,I Went Down (1997),126344
1806,Paulie (1998),125454
2236,Simon Birch (1998),124879
2325,Orgazmo (1997),124819
1840,He Got Game (1998),124718
2166,Return to Paradise (1998),124595
1827,"Big One, The (1997)",124295
2387,Very Bad Things (1998),124198
1816,Two Girls and a Guy (1997),124179
2063,"Seventh Heaven (Septième ciel, Le) (1997)",124115
1919,Madeline (1998),123987
2232,Cube (1997),123755
2190,Why Do Fools Fall In Love? (1998),123324
1920,Small Soldiers (1998),122718
2278,Ronin (1998),122690
2307,One Tough Cop (1998),122642
1904,Henry Fool (1997),122529
1918,Lethal Weapon 4 (1998),122151
1845,Zero Effect (1998),120906
1909,"X-Files: Fight the Future, The (1998)",120902
2170,Wrongfully Accused (1998),120901
1805,Wild Things (1998),120890
2297,What Dreams May Come (1998),120889
1777,"Wedding Singer, The (1998)",120888
1747,Wag the Dog (1997),120885
2337,Velvet Goldmine (1998),120879
2328,Vampires (1998),120877
1792,U.S. Marshals (1998),120873
2427,"Thin Red Line, The (1998)",120863
2436,Tea with Mussolini (1999),120857
2393,Star Trek: Insurrection (1998),120844
1862,Species II (1998),120841
1864,Sour Grapes (1998),120838
2276,"Soldier's Daughter Never Cries, A (1998)",120835
2126,Snake Eyes (1998),120832
2155,"Slums of Beverly Hills, The (1998)",120831
1894,Six Days Seven Nights (1998),120828
2295,"Impostors, The (1998)",120823
1746,Senseless (1998),120820
2028,Saving Private Ryan (1998),120815
2128,Safe Men (1998),120813
2273,Rush Hour (1998),120812
1881,Quest for Camelot (1998),120800
2394,"Prince of Egypt, The (1998)",120794
2316,Practical Magic (1998),120791
2321,Pleasantville (1998),120789
2271,Permanent Midnight (1998),120788
1892,"Perfect Murder, A (1998)",120787
2490,Payback (1999),120784
2059,"Parent Trap, The (1998)",120783
1783,Palmetto (1998),120782
1912,Out of Sight (1998),120780
1885,"Opposite of Sex, The (1998)",120777
2272,One True Thing (1998),120776
1837,"Odd Couple II, The (1998)",120773
1821,"Object of My Affection, The (1998)",120772
2296,"Night at the Roxbury, A (1998)",120770
1804,"Newton Boys, The (1998)",120769
2058,"Negotiator, The (1998)",120768
1839,My Giant (1998),120765
1907,Mulan (1998),120762
2429,Mighty Joe Young (1998),120751
1833,Mercury Rising (1998),120749
2006,"Mask of Zorro, The (1998)",120746
1801,"Man in the Iron Mask, The (1998)",120744
1863,Major League: Back to the Minors (1998),120742
2027,Jane Austen's Mafia! (1998),120741
1831,Lost in Space (1998),120738
1836,"Last Days of Disco, The (1998)",120728
1855,Krippendorf's Tribe (1998),120725
1854,Kissing a Fool (1998),120723
2331,Living Out Loud (1998),120722
2446,In Dreams (1999),120710
2425,"General, The (1998)",120706
2154,How Stella Got Her Groove Back (1998),120703
2306,Holy Man (1998),120701
2441,"Hi-Lo Country, The (1998)",120699
1752,Hard Rain (1998),120696
2107,Halloween H20: 20 Years Later (Halloween 7: The Revenge of Laurie Strode) (1998),120694
1753,Half Baked (1998),120693
2062,"Governess, The (1998)",120687
2432,Stepmom (1998),120686
1882,Godzilla (1998),120685
2333,Gods and Monsters (1998),120684
2479,Gloria (1999),120683
1744,Firestorm (1998),120670
1884,Fear and Loathing in Las Vegas (1998),120669
1797,Everest (1998),120661
2353,Enemy of the State (1998),120660
2195,Dirty Work (1998),120654
1876,Deep Impact (1998),120647
1822,Meet the Deedles (1998),120645
1807,"Cool, Dry Place, A (1998)",120642
2433,"Civil Action, A (1998)",120633
1835,City of Angels (1998),120632
2125,Ever After: A Cinderella Story (1998),120631
2355,"Bug's Life, A (1998)",120623
2167,Blade (1998),120611
1866,"Big Hit, The (1998)",120609
2314,Beloved (1998),120603
1826,Barney's Great Adventure (1998),120598
2384,Babe: Pig in the City (1998),120595
