Title,Year,Plot
Lumumba,2000,"The true story of the rise to power and brutal assassination of the formerly vilified and later redeemed leader of the independent Congo, Patrice Lumumba. Using newly discovered historical evidence, Haitian-born and later Congo-raised writer and director Raoul Peck renders an emotional and tautly woven account of the mail clerk and beer salesman with a flair for oratory and an uncompromising belief in the capacity of his homeland to build a prosperous nation independent of its former Belgium overlords. Lumumba emerges here as the heroic sacrificial lamb dubiously portrayed by the international media and led to slaughter by commercial and political interests in Belgium, the United States, the international community, and Lumumba's own administration; a true story of political intrigue and murder where political entities, captains of commerce, and the military dovetail in their quest for economic and political hegemony."
Donnie Darko,2001,"Donnie Darko doesn't get along too well with his family, his teachers and his classmates; but he does manage to find a sympathetic friend in Gretchen, who agrees to date him. He has a compassionate psychiatrist, who discovers hypnosis is the means to unlock hidden secrets. His other companion may not be a true ally. Donnie has a friend named Frank - a large bunny which only Donnie can see. When an engine falls off a plane and destroys his bedroom, Donnie is not there. Both the event, and Donnie's escape, seem to have been caused by supernatural events. Donnie's mental illness, if such it is, may never allow him to find out for sure."
The Musketeer,2001,"In 17th century Paris, a dashing swordsman named D'Artagnan finds himself at odds with the powerful forces taking over France. He sets out to avenge the murder of his parents and finds his country cleaved by chaos and civil unrest. His heart softens only for Francesca, a fiery peasant girl who claims D'Artagnan's heart on sight."
Big Trouble,2002,"A chain of events starts with the arrival of a mysterious suitcase in Miami. Arthur Herk, a corrupt business owner, wants to get his hands on the case. At the same time, two hit men want him whacked. Tired of his constant fixation on drinking and television, Herk's wife Anna and daughter Jenny decide to find new love interests in divorced dad Eliot Arnold and his son Matt. To add more complication, two thieves decide to steal the case and lead a Miami police team and two FBI agents on a wild goose chase that ends inside the Miami airport terminal."
Extremedays,2001,"As four lifelong friends, Will, Bryan, Matt, and Corey, are on the road trip they've been planning their whole lives, Corey's beloved grandfather unexpectedly dies. When going to claim Corey's inheritance, the gang meets Matt's beautiful cousin Jessie and embark on a hilarious, extreme sports-filled adventure."
The Count of Monte Cristo,2002,"'The Count of Monte Cristo' is a remake of the Alexander Dumas tale by the same name. Dantes, a sailor who is falsely accused of treason by his best friend Fernand, who wants Dantes' girlfriend Mercedes for himself. Dantes is imprisoned on the island prison of Chateau d'If for 13 years, where he plots revenge against those who betrayed him. With the help of another prisoner, he escapes the island and proceeds to transform himself into the wealthy Count of Monte Cristo as part of his plan to exact revenge."
Amores Perros,2000,"On the brink of the new Millennium in the bustling City of Mexico, one horrible car accident intertwines inextricably the lives of three perfect strangers. Octavio, a rebellious adolescent who is secretly in love with his sister-in-law, dreams of escaping his miserable life, and for this reason, he enters reluctantly the obscure world of dog fighting with his lethal dog Cofi. And then unexpectedly, Valeria, a stunning woman and famous supermodel, will cross paths with Octavio, while in the meantime, her pampered little dog Richie manages to vanish into thin air in the confined space of her apartment. Lastly, Chivo, an ex-guerrilla vagabond, after abandoning his little daughter, unable to make up for lost time, he channels his love to the city's strays and a mortally wounded Rottweiler. In the end, even though all the weary characters, men and beasts, wish for a bright future, in this life-changing journey in the pursuit of love, sometimes infidelity, sin and death can get in the way."
Joe Dirt,2001,"Joe Dirt is a janitor with a mullet hairdo, acid-washed jeans and a dream to find the parents that he lost at the Grand Canyon when he was a belligerent, trailer park-raised eight-year-old. Now, blasting Van Halen in his jacked-up economy car, the irrepressibly optimistic Joe hits the road alone in search of his folks. As his wandering, misguided search takes him from one hilarious misadventure to another, Joe finds his way to Los Angeles, where a shock-jock brings Joe on his radio show to insult him. But as Joe's life story unfolds, jeers turn to cheers, and an entire captivated city tunes in to hear the adventures of Joe Dirt."
Thir13en Ghosts,2001,"Arthur and his two children, Kathy and Bobby, inherit his Uncle Cyrus's estate: a glass house that serves as a prison to 12 ghosts. When the family, accompanied by Bobby's Nanny and an attorney, enter the house they find themselves trapped inside an evil machine ""designed by the devil and powered by the dead"" to open the Eye of Hell. Aided by Dennis, a ghost hunter, and his rival Kalina, a ghost rights activist out to set the ghosts free, the group must do what they can to get out of the house alive."
Things Behind the Sun,2001,"In Cocoa Beach FL, a woman shows up drunk on the same lawn on the same date three years running. What's going on? She's Sherry McGrale, a singer building a reputation on college campuses, especially for her signature song about having been raped. A rock magazine in L.A. takes notice, and writer Owen Richardson recognizes her: his older brother orchestrated the assault and involved him. Owen heads for Florida, ostensibly to do a piece on her, but in reality to try to put his own demons to rest. Wounds from the event are ruining Sherry and Owen's current relationships. Is there any prospect of healing? A judge, Sherry's manager, and a widow with young kids provide supporting arms."
