Title,Year,Plot
Marc Maron: Thinky Pain,2013,"Marc Maron returns to his old stomping grounds for an intimate special in which he takes stock of himself. More than ever, Maron is raw and hilariously honest as he dissects his own neuroses and self-loathing while providing outrageous anecdotes from his personal life, in which he starts to realize the hurt isn't real, it's just ""Thinky Pain."""
The Time of the Doctor,2013,"The Doctor's worst enemies, The Daleks, The Cybermen, The Angels and The Silence, return, as the doctor's eleventh life comes to a close, and his twelfth life begins."
Planes: Fire & Rescue,2014,"When world-famous air racer Dusty learns that his engine is damaged and he may never race again, he must shift gears and is launched into the world of aerial firefighting. Dusty joins forces with veteran fire and rescue helicopter Blade Ranger and his team, a bunch of all-terrain vehicles known as The Smokejumpers. Together, the fearless team battles a massive wildfire, and Dusty learns what it takes to become a true hero."
The Hundred-Foot Journey,2014,"The family of talented cook, Hassan Kadam, has a life filled with both culinary delights and profound loss. Drifting through Europe after fleeing political violence in India that killed the family restaurant business and their mother, the Kadams arrive in France. Once there, a chance auto accident and the kindness of a young woman, Marguerite, in the village of Saint-Antonin-Noble-Val inspires Papa Kadam to set up a Indian restaurant there. Unfortunately, this puts the Kadams in direct competition with the snobbish Madame Mallory's acclaimed haute cuisine establishment across the street where Marguerite also works as a sous-chef. The resulting rivalry eventually escalates in personal intensity until it goes too far. In response, there is a bridging of sides initiated by Hassan, Marguerite and Madame Mallory herself, both professional and personal, that encourages an understanding that will change both sides forever."
The Guest,2014,"A soldier introduces himself to the Peterson family, claiming to be a friend of their son who died in action. After the young man is welcomed into their home, a series of accidental deaths seem to be connected to his presence."
Batman v Superman: Dawn of Justice,2016,"The general public is concerned over having Superman on their planet and letting the ""Dark Knight"" - Batman - pursue the streets of Gotham. While this is happening, a power-phobic Batman tries to attack Superman.,Meanwhile Superman tries to settle on a decision, and Lex Luthor, the criminal mastermind and millionaire, tries to use his own advantages to fight the ""Man of Steel""."
The Purge: Anarchy,2014,"A couple are driving home when their car breaks down just as the Purge commences. Meanwhile, a police sergeant goes out into the streets to get revenge on the man who killed his son, and a mother and daughter run from their home after assailants destroy it. The five people meet up as they attempt to survive the night in Los Angeles."
Drive Hard,2014,A former race car driver turned driver's training instructor (Jane) is abducted by a mysterious thief (Cusack) and forced to be the wheel-man for a crime that puts both in the sights of the cops and the mob and leads them all on a chase across Australia's Gold Coast.
Hot Pursuit,2015,"Rose Cooper is an uptight and by-the-book cop whose name has become a verb synonymous with screw-ups, and she's found a chance to redeem herself. She has been assigned to protect a federal witness, Daniella Riva, the vivacious and outgoing widow of a drug boss. As the two polar opposites race through Texas, they find themselves pursues by everyone from crooked cops to murderous gunmen. However, their greatest obstacle to making this out alive may be themselves as they learn that Cooper has now been considered a fugitive fleeing with Danielle."
The Face of an Angel,2014,"THE FACE OF AN ANGEL tells the story of a journalist and a filmmaker as they lose themselves in a notorious murder case they are covering. Based on true events, a riveting account of the controversial case of a American student accused of murder in Italy."
The Trip to Italy,2014,"Years after their successful restaurant review tour of Northern Britain, Steve Coogan and Rob Brydon are commissioned for a new tour in Italy. Once again, the two comedy buddies/rivals take the landscape as well as the cuisine of that country in a trip filled with witty repartee and personal insecurities. Along the way, their own professional and personal lives comes in as these slightly older men's friendship comes through."
Comet,2014,"Justin Long and Emmy Rossum are star-crossed lovers whose relationship blooms and unravels over the course of six years in this mysterious, dazzlingly original romance. When a chance encounter brings together the cynical Dell (Long) and the quick-witted Kimberly (Rossum), the stage is set for a tempestuous love affair that unfolds like a puzzle. As the film zigzags back and forth in time-from a meteor shower in LA, to an encounter in a Paris hotel room, to a fateful phone call-an unforgettable portrait of a relationship emerges. Sumptuously shot and boasting incredible chemistry between the leads, Comet is a one-of-a-kind cosmic love story."
Once My Mother,2013,"When Australian filmmaker Sophia Turkiewicz was seven years old, her Polish mother, Helen, abandoned her in an Adelaide orphanage. Sophia never forgot this maternal act of betrayal. Now in middle age, as Sophia examines her troubled relationship with Helen, she discovers the story behind Helen's miraculous wartime escape from a Siberian gulag, her subsequent survival against the odds and the truth about an historic betrayal involving Stalin and the Allies. With Helen sliding into dementia, Sophia must confront her own demons. Did she ever truly know this woman who became her mother? Does she have it in her heart to forgive her? And is it too late?"
Return to Sender,2015,"An attractive but lonely nurse accepts a blind date setup by a co-worker and arranges for them to meet at her home. A stranger arrives on her porch before the arranged time and she mistakes him for her blind date. The stranger rapes her and leaves her seriously traumatized. Her life falls apart and she enters depression. She learns much later he is in a prison an hour away and begins visiting him, first to confront him and her fears. Then she starts to flirt and her spirits improve dramatically in the rest of her life."
Backcountry,2014,"An urban couple go camping in the Canadian wilderness - where unimaginable beauty sits alongside our most primal fears. Alex (Jeff Roop) is a seasoned outdoorsman while Jenn (Missy Peregrym), a corporate lawyer, is not. After much convincing, and against her better judgment, she agrees to let him take her deep into a Provincial Park to one of his favorite spots - the secluded Blackfoot Trail. On their first night, deep in the forest, they have an unsettling encounter with Brad (Eric Balfour), a strange alpha male with eyes for Jenn who may or may not be following them. Alex's desire to quickly reach Blackfoot Trail only intensifies. They push further and further into the woods, Alex stubbornly insisting that he remembers the way. After three days their path disappears; they are hopelessly lost. Without food or water, they struggle to find their way back, the harsh conditions bringing out the best and worst in them, pushing their already fragile relationship to the breaking point. When they realize they have entered a bear's territory, being lost suddenly becomes the least of their problems. Terror, horror, will, and survival become paramount."
