Title,Year,Plot
Rare Birds,2001,"Dave is down. His wife lives in Washington, D.C.; his restaurant, the Auk, in an out-of-the-way Newfoundland inlet, is a bust; a drink is rarely out of reach. An odd-duck of a neighbor, Phonce, who has found ten kilos of cocaine and wants Dave's help selling it, contrives to keep Dave in town by faking and reporting the sighting of a rare bird. Soon birders descend from everywhere, and the restaurant is a success. Dave is snorting the cocaine and falling for a young visitor who helps him out at the Auk, Phonce is launching his recreational submarine, and various men who don't look like birders are poking about. When the chickens come home to roost, will Dave and Phonse have a Plan B?"
The Wash,2001,"With the rent due and his car booted, Sean (Dr. Dre) has to come up with some ends...and fast. When his best buddy and roommate Dee Loc (Snoop Dogg), suggests that Sean get a job busting suds down at the local car wash, the first order of business is impressing Mr. Washington (George Wallace) the gun-toting, dominoes-playing owner of The Wash. Unaware that the two are roomies, Mr. Washington hires Sean as Dee Loc's supervisor. Comic tensions flare between the two, especially when Dee Loc suspects Sean of trying to slow his roll with the side hustles he's got going on in the car wash parking lot...and with the ladies in the locker room. But there are bigger things to worry about at The Wash. One is the menacing phone calls from a disgruntled employee, and the other is figuring out how to get money to pay off the kidnappers who've snatched Mr. Washington! If Sean, Dee Loc, and the rest of the gang don't settle their differences and get Mr. Washington back, the good times at The Wash will soon come to an end"
Full Frontal,2002,Arty film-within-a-film revolves around seven people with little in common whose lives collide.
Monster's Ball,2001,"Set in the Southern United States, 'Monster's Ball' is a tale of a racist white man, Hank, who falls in love with a black woman named Leticia. Ironically Hank is a prison guard working on Death Row who executed Leticia's husband. Hank and Leticia's interracial affair leads to confusion and new ideas for the two unlikely lovers."
No Man's Land,2001,"After various skirmishes, two wounded soldiers, one Bosnian and one Serb, confront each other in a trench in the no man's land between their lines. They wait for dark, trading insults and even finding some common ground; sometimes one has the gun, sometimes the other, sometimes both. Things get complicated when another wounded Bosnian comes to, but can't move because a bouncing mine is beneath him. The two men cooperate to wave white flags, their lines call the UN (whose high command tries not to help), an English reporter shows up, a French sergeant shows courage, and the three men in no man's land may or may not find a way to all get along."
Kandahar,2001,"Nafas is a reporter who was born in Afghanistan, but fled with her family to Canada when she was a child. However, her sister wasn't so lucky; she lost her legs to a land mine while young, and when Nafas and her family left the country, her sister was accidentally left behind. Nafas receives a letter from her sister announcing that she's decided to commit suicide during the final eclipse before the dawn of the 21st century; desperate to spare her sister's life, Nafas makes haste to Afghanistan, where she joins a caravan of refugees who, for a variety of reasons, are returning to the war-torn nation. As Nafas searches for her sister, she soon gets a clear and disturbing portrait of the toll the Taliban regime has taken upon its people."
Porn Star: The Legend of Ron Jeremy,2001,"Porn Star: The Legend of Ron Jeremy offers audiences a penetrating look inside the world of Ron Jeremy, America's most unlikely sex star and hero to millions. With nearly 25 years in the adult film industry and over 1,600 films to his credit, Ron Jeremy is huge. In his world, Ron reigns supreme-he's made millions of dollars and slept with thousands of beautiful women, and is indisputably the industry's biggest star. And everyone who's anyone knows Ron-a pop icon to millions, he is a beacon of hope for many American male, since he stands as living proof that pretty much anyone can get some. So how did such a classically unhandsome, big and hairy guy ever get to be such a super stud? In one of the most fascinating and entertaining comedies of the last year, audiences finally get a chance to get inside the life and times of Ron Jeremy, and find out what's really behind the hardest working man in show business."
Snow Dogs,2002,"When Miami dentist Ted Brooks learns that his birth mother has passed away and that he was named in her will, he travels to Alaska to claim his inheritance. Rather than the large chunk of change that many people would expect, Ted instead receives his mother's pack of rowdy sled dogs and her property. Although the dogs seemingly have it in for Ted, he decides to keep the dogs and race them in the local race, the Arctic Challenge, spiting a mountain man who wants the dogs. What follows is a comedy detailing Ted's adventures in learning to run the sled dogs."
A Walk to Remember,2002,"In North Carolina especially in Beaufort a prank on a girl goes wrong and puts the student in the clinic. Carter, a famous student with no plans for the future, is held responsible and forced to join in after-school community service activities as consequence, which include starring as the lead in the play. And participating in these activities is Jamie Sullivan, the reverend's daughter who has great ambitions and nothing in common with Landon. When Landon decides he wants to take his activities seriously, he asks Jamie for help and begins to spend most of his time with her. But he starts to like her, that he did not expect to do. They relationship, much to the chagrin of Landon's old popular friends and Jamie's strict reverend father. But when a heart-breaking secret becomes known that puts their relationship to the test, it is then that Landon and Jamie realize the true meaning of love and fate."
Iris,2001,"Iris, based on the life of revered British writer and philosopher Iris Murdoch, is a story of unlikely yet enduring love. As a young academic, teaching philosophy at Oxford, Murdoch meets and eventually falls in love with fellow professor John Bayley, a man whose awkwardness seems in stark opposition to the spirited self-confidence of his future wife. The story unfolds as snippets of time, seen through Bayley's eyes. He recalls their first encounter over 40 years ago, activities they enjoyed doing together, and Iris' charismatic and individualistic personality. These images portray Murdoch as a vibrant young woman with great intellect and are contrasted with the novelist's later life, after the effects of Alzheimer's disease have ravaged her. Murdoch's great mind deteriorates until she is reduced to a mere vestige of her former self, unable to perform simple tasks and completely reliant on her at times frustrated yet devoted husband."
Gosford Park,2001,"Set in the 1930s, the story takes place in an old-fashioned English country house where a weekend shooting party is underway. The story centers on the McCordle family, particularly the man of the house, William McCordle. Getting on in years, William has become benefactor to many of his relatives and friends. As the weekend goes on, secrets are revealed, and it seems everyone, above stairs and below, wants a piece of William and his money, but how far will they go to get it?"
Peter Pan II: Return to Neverland,2002,"The classic tale of 'Peter Pan' continues in Disney's sequel 'Return to Never Land'. In 1940 on a world besieged by World War II, Wendy, now grown up, has two children, one of them is her daughter, Jane. She wears her trench coat during the air raid, and later that night, Wendy tries to give her own children hope by telling them of her magical experiences with Peter Pan in Never Land. However, Jane, Wendy's daughter, sees it all as make believe and refuses to believe in the tales. That is, until the villainous Captain Hook mistakes her for Wendy and abducts her to Never Land in an attempt to lure and capture Peter Pan. Peter Pan's quest to return Jane safely home is jeopardized until she can begin to believe in the magic of imagination."
On the Line,2001,"A young man meets a girl on a train, only to spend the rest of the movie trying to reunite with her (one of the love-at-first-sight things), aided by his best friend in a quest of posters and signs that soon gains public notice. Will he ever find his soul mate?"
